2026-01-04T12:12:51.230+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:51.231+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:51.233+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:52.246+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:52.247+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:52.248+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:53.254+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:53.255+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:53.255+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:54.283+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:54.285+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:54.285+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:55.138+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:55.138+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:55.138+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:56.142+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:56.142+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:56.142+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-01-04T12:12:57.155+05:30  INFO 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Node -1 disconnected.
2026-01-04T12:12:57.155+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-01-04T12:12:57.155+05:30  WARN 20800 --- [Patient-Service] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-patient-service-group-4, groupId=patient-service-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
